metric,baseline_cnn,improved_resnet18,difference_improved_minus_baseline
mean_val_roc_auc,0.830992092105208,0.8966202194768704,0.06562812737166246
exact_match_accuracy,0.8466666666666667,0.8464,-0.0002666666666666373
micro_f1,0.0960573476702509,0.47392875580795046,0.3778714081376996
macro_f1,0.057721331184611056,0.34238490527084875,0.2846635740862377
