label,baseline_val_roc_auc,improved_val_roc_auc,difference_improved_minus_baseline
any,0.82124676306091,0.9056129394232213,0.08436617636231125
epidural,0.8348082595870207,0.8392649631587684,0.0044567035717477665
intraparenchymal,0.8319736842105262,0.9209654050857481,0.08899172087522189
intraventricular,0.8851200340565277,0.9539742751584996,0.06885424110197191
subarachnoid,0.8113867827179325,0.8728987392884383,0.06151195657050579
subdural,0.8014170289983295,0.8870049947465468,0.08558796574821737
